BuildingID,BuildingType,YearBuilt,MonthlyElectricityConsumption_kWh,PeakUsageTime_Hour,RenewableCapacity_kWh,RenewableType,RenewableContributionPercentage,EnergySource,EnergyEfficiency_kWh_per_m2,WeatherData_Temperature_C,WeatherData_SolarIntensity_Hours,WeatherData_WindSpeed_km_h
B000001,Educational,,673.62,8,3292.66,,30.27,Electricity,21.15,12.51,5.44,71.64
B000002,Agricultural,,294.6,10,0.0,Tidal,0.0,Coal,21.01,18.22,8.91,10.85
B000003,Retail,2020.0,210.2,20,6483.89,Solar,90.72,Electricity,34.53,39.4,3.59,13.45
B000004,Commercial,,174.14,5,12150.11,Wind,45.16,Biomass,48.66,17.97,3.65,40.85
B000005,Educational,,61.27,23,3516.48,Solar,96.59,Electricity,25.46,16.18,8.11,72.2
B000006,Industrial,,279.19,9,7769.39,Solar,60.76,Electricity,19.46,0.21,10.33,57.67
B000007,Educational,,179.96,13,4912.42,Wind,69.56,Electricity,45.21,28.85,9.41,105.44
B000008,Residential,1988.0,113.45,13,7305.47,Wind,73.65,Electricity,26.07,38.86,1.02,68.59
B000009,Industrial,,1257.24,23,1042.26,Geothermal,52.61,Biomass,19.79,13.51,8.14,73.83
B000010,Commercial,,678.38,15,5128.54,Hydro,73.56,Mixed Sources,18.48,19.94,0.02,40.8
B000011,Retail,,318.76,19,5492.61,Solar,67.99,Electricity,46.3,36.72,3.96,60.61
B000012,Residential,,48.8,3,5741.63,Solar,91.54,Biomass,21.62,-3.28,6.44,71.53
B000013,Residential,,29.91,12,2317.36,Solar,81.5,Biomass,44.16,43.17,2.13,43.61
B000014,Commercial,,513.81,15,4752.13,Wind,50.14,Biomass,14.91,20.82,1.51,43.48
B000015,Residential,1943.0,52.49,2,11293.9,Wind,35.81,Electricity,18.29,22.28,1.32,56.82
B000016,Residential,,45.76,7,5949.34,Solar,90.54,Electricity,14.93,17.98,9.87,87.56
B000017,Healthcare,,50.93,17,2516.13,Wind,43.46,Electricity,37.37,16.81,7.18,96.7
B000018,Commercial,,185.12,16,8870.91,Wind,60.43,Biomass,41.68,6.25,8.79,86.56
B000019,Commercial,,133.57,14,10203.88,Wind,52.16,Electricity,29.06,14.2,3.75,104.68
B000020,Residential,2015.0,201.87,1,2412.7,Geothermal,23.81,Electricity,13.73,8.83,11.1,110.95
B000021,Commercial,,583.12,6,4864.54,Biomass,14.46,Electricity,8.09,-9.33,11.86,45.43
B000022,Commercial,,197.37,8,4470.0,,73.8,Electricity,33.1,23.1,1.63,15.51
B000023,Residential,,67.07,12,0.0,Tidal,0.0,Natural Gas,11.33,-10.58,2.2,78.74
B000024,Commercial,2015.0,578.91,12,14253.91,Wind,32.52,Biomass,22.08,27.21,8.85,96.42
B000025,Residential,,69.94,6,5817.57,Hydro,67.79,Electricity,38.07,-10.82,8.85,103.84
B000026,Residential,,64.0,21,8989.43,Solar,91.37,Mixed Sources,40.09,27.07,4.65,119.27
B000027,Residential,,82.83,19,11240.4,Hydro,65.45,Electricity,29.38,19.3,6.96,33.63
B000028,Religious,,581.11,15,16672.13,Hydro,66.22,Biomass,5.71,18.28,2.26,1.82
B000029,Commercial,2002.0,151.15,13,6328.89,Solar,80.21,Electricity,36.81,-3.0,8.69,36.94
B000030,Commercial,,131.39,13,4376.76,Wind,40.31,Mixed Sources,34.34,35.28,10.73,73.61
B000031,Commercial,1998.0,477.6,4,6816.9,Solar,59.5,Biomass,29.27,-2.2,9.62,43.37
B000032,Residential,1985.0,55.24,14,4276.19,Geothermal,43.47,Electricity,37.56,44.53,7.89,44.51
B000033,Commercial,,1046.04,12,5148.94,Solar,87.09,Electricity,11.71,28.51,5.77,48.22
B000034,Industrial,,330.25,16,5364.14,Hydro,57.22,Biomass,39.66,1.63,8.04,98.63
B000035,Industrial,,1791.14,17,5761.6,Solar,91.11,Electricity,9.42,-0.86,1.12,13.12
B000036,Government,,107.22,18,14590.63,Wind,81.55,Electricity,22.62,29.74,7.0,51.03
B000037,Educational,,409.91,19,7131.51,Hydro,58.79,Biomass,35.35,37.33,7.32,82.22
B000038,Retail,1985.0,126.4,2,2088.67,Geothermal,,Electricity,31.9,39.82,6.96,105.78
B000039,Healthcare,,46.75,13,10780.93,Wind,,Mixed Sources,24.4,-19.34,3.19,85.96
B000040,Industrial,,2241.57,20,921.48,Biomass,16.53,Electricity,10.69,39.7,5.61,91.84
B000041,Residential,2002.0,54.7,12,16389.07,Hydro,79.94,Mixed Sources,30.14,16.42,10.58,47.72
B000042,Educational,1900.0,259.05,21,11732.01,Hydro,54.82,Electricity,38.49,18.26,7.18,77.31
B000043,Commercial,,586.04,20,4290.92,Solar,57.68,Electricity,25.5,7.95,4.73,21.63
B000044,Residential,,47.79,23,2037.68,Wind,63.61,Electricity,15.18,18.53,8.49,63.1
B000045,Residential,1914.0,49.2,0,7339.07,Solar,97.76,Electricity,38.56,33.15,1.78,57.16
B000046,Industrial,,264.06,8,5395.95,Biomass,34.25,Biomass,43.59,-19.48,2.24,116.26
B000047,Residential,,26.15,10,3874.23,Solar,50.6,Electricity,25.28,26.27,6.68,29.91
B000048,Commercial,,107.61,2,4189.65,Wind,50.38,Electricity,27.31,20.98,2.42,115.75
B000049,Government,,1194.17,1,8949.12,Solar,69.72,Biomass,10.97,34.66,2.6,22.84
B000050,Residential,1995.0,47.37,13,9453.09,Solar,,Electricity,41.83,38.0,9.57,74.49
B000051,Educational,1999.0,151.83,20,3925.12,Solar,76.47,Electricity,29.4,15.46,7.23,82.11
B000052,Residential,,56.09,21,5545.52,Solar,94.62,Electricity,17.22,-5.73,4.9,8.77
B000053,Residential,1961.0,170.64,11,4844.05,Solar,96.26,Electricity,11.38,-7.45,3.16,115.69
B000054,Residential,,36.92,23,4596.89,Geothermal,29.4,Electricity,45.47,14.08,9.26,101.9
B000055,Residential,,83.71,11,14523.05,Wind,51.34,Mixed Sources,29.17,9.42,5.64,55.54
B000056,Hospitality,,335.73,16,2052.87,Wind,82.61,Electricity,41.96,-10.15,3.32,48.71
B000057,Residential,,243.63,12,14533.86,Wind,,Electricity,8.8,4.22,0.13,48.67
B000058,Residential,,55.12,23,15696.02,Hydro,67.02,Electricity,16.81,5.36,4.93,1.75
B000059,Residential,2005.0,120.95,9,960.71,Solar,86.89,Mixed Sources,22.81,27.99,4.54,89.38
B000060,Commercial,2011.0,230.78,13,3719.53,,54.62,Biomass,22.14,34.69,2.16,28.35
B000061,Industrial,,737.68,21,3751.36,Hydro,70.02,Electricity,29.04,36.82,0.32,44.66
B000062,Industrial,,451.91,12,18302.98,Hydro,77.9,Biomass,20.85,-14.32,10.04,111.31
