SensorID,SensorLocation,Pollutant_PM2.5_µg/m³,Pollutant_PM10_µg/m³,Pollutant_O3_ppb,Pollutant_NO2_ppb,Pollutant_CO_ppm,Pollutant_SO2_ppb,UrbanVegetationArea_m2,Humidity_%,AirTemperature_C,EnergySavingTechnology,AnnualEnergySavings_%,PopulationDensity_people/km²,RetrofitData,RenewableEnergyPercentage_%,AnnualEnergyConsumption_kWh,GreenSpaceIndex_%,HistoricPollutantLevels,Country,AQI_Index
S000001,Industrial Area,71.99,101.55,183.24,65.92,30.81,33.04,750.58,42.68,27.46,Solar Panels,5.22,1912.59,Yes,1.16,47054.58,30.69,164.21,Kyrgyzstan,87.92
S000002,Industrial Area,69.96,16.71,40.99,123.3,4.12,26.44,982.93,62.27,-6.66,,31.74,1144.57,Yes,44.4,20672.65,5.96,180.58,Yemen,51.54
S000003,Rural,78.135,100.404,30.016,55.27,23.65,6.564,8780.38,78.95,-9.08,Efficient HVAC,15.66,,Yes,21.35,49459.5,48.1,290.0,Kyrgyzstan,64.06
S000004,Industrial Area,79.64,128.9,29.5,130.68,9.1,28.58,,36.55,13.87,LED Lighting,29.32,1832.64,Yes,15.75,5953.21,15.77,241.86,Cambodia,77.47
S000005,Industrial Area,63.35,296.26,76.56,52.04,29.87,44.11,917.23,41.13,4.85,Smart Thermostats,16.29,1624.23,Yes,13.81,16232.45,57.01,90.68,Thailand,106.47
S000006,Rural,48.075,162.83999999999997,92.302,17.36,1.35,35.332,,48.58,6.94,Solar Panels,22.4,79.08,No,39.12,38549.82,26.14,219.28,Uzbekistan,69.28
S000007,Suburban,66.87,158.73,80.82,119.16,43.07,6.59,3448.9,44.89,31.82,Solar Panels,9.95,510.9,No,6.67,19879.04,38.99,271.97,Japan,87.17
S000008,Suburban,99.72,107.98,150.26,13.33,38.53,72.96,,49.73,20.03,Efficient HVAC,26.61,564.66,No,19.02,27359.67,21.48,72.12,Turkmenistan,92.86
S000009,Industrial Area,191.72,126.81,149.59,140.44,1.63,31.4,1253.94,83.39999999999999,-3.68,Efficient HVAC,10.45,1857.95,No,13.6,7740.8,19.7,170.23,Philippines,140.27
S000010,Industrial Area,117.52,281.39,16.13,140.07,26.51,4.88,567.95,70.34,15.34,Efficient HVAC,6.9,841.8,Yes,3.22,39177.88,21.71,115.57,Japan,122.61
S000011,Rural,88.185,10.0,44.618,44.555,24.01,33.300000000000004,7251.35,37.35,-2.59,Efficient HVAC,13.31,179.08,No,12.15,15810.71,11.36,93.3,Kazakhstan,52.49
S000012,Industrial Area,30.34,75.95,78.82,32.94,15.35,94.16,877.97,39.1,31.02,LED Lighting,23.9,1628.03,No,12.25,28761.26,20.41,99.98,Thailand,48.69
S000013,Industrial Area,43.22,317.26,156.83,58.63,40.74,43.11,1115.66,39.480000000000004,34.44,Insulation,7.81,,Yes,0.45,5552.22,21.5,58.94,Sri Lanka,116.36
S000014,Industrial Area,64.47,280.64,57.17,48.44,20.66,21.28,,86.28999999999999,27.84,Insulation,18.94,1514.62,No,10.91,46462.54,34.22,195.72,Japan,98.47
S000015,Rural,64.295,172.002,97.74799999999999,72.66,21.775,14.932,9967.3,69.98,-3.62,Efficient HVAC,13.4,57.52,No,,46336.8,6.82,224.31,Sri Lanka,84.97
S000016,Industrial Area,180.56,310.71,175.91,49.37,24.54,3.47,1429.88,56.24,-0.3,Solar Panels,32.38,1491.47,Yes,48.98,47858.26,27.98,174.05,Tajikistan,168.32
S000017,Urban,47.41,154.41,119.35,86.45,49.47,20.8,778.48,35.0,-4.13,LED Lighting,14.67,1587.8,Yes,7.13,27301.12,10.03,264.58,India,82.38
S000018,Urban,9.21,30.29,196.23,68.69,47.83,66.63,2218.54,36.2,20.94,Solar Panels,11.81,4902.58,No,22.18,36279.2,53.73,282.59,Azerbaijan,54.16
S000019,Industrial Area,18.63,299.19,101.67,78.92,9.89,57.17,1203.96,52.260000000000005,-4.38,Solar Panels,24.92,1232.65,No,48.18,29936.5,20.26,105.87,Bangladesh,94.28
S000020,Urban,92.63,116.07,151.8,146.56,10.55,5.4,1868.94,67.09,12.98,Efficient HVAC,22.98,3696.05,No,,26664.15,18.47,204.93,Japan,99.02
S000021,Urban,29.67,154.37,40.97,69.19,40.52,98.19,,72.48,22.55,Efficient HVAC,5.24,,No,6.05,16537.06,24.9,233.67,China,64.77
S000022,Rural,10.325,19.746,54.677,9.53,8.045,23.224000000000004,,31.78,7.2,Solar Panels,28.65,264.82,No,29.91,29112.37,46.69,292.79,Azerbaijan,19.2
S000023,Industrial Area,132.79,115.29,118.42,32.53,6.9,30.16,1396.73,58.1,23.58,Solar Panels,9.49,555.96,No,5.5,10707.52,23.1,225.73,Turkmenistan,99.39
S000024,Industrial Area,95.4,309.87,189.04,111.12,26.69,18.28,650.74,71.57,-1.37,LED Lighting,36.66,763.27,No,48.06,17627.66,52.61,119.79,Malaysia,143.19
S000025,Urban,232.22,181.48,126.08,90.46,8.84,84.66,,46.61,-3.15,LED Lighting,25.63,3131.12,No,30.56,14491.77,48.59,94.74,Tajikistan,162.26
S000026,Urban,158.46,199.49,44.27,75.8,34.01,31.57,,40.160000000000004,28.26,LED Lighting,24.65,1876.71,No,43.77,8832.78,9.27,240.07,Laos,122.48
S000027,Urban,193.03,344.35,175.72,107.83,29.17,71.95,,56.25,-1.7400000000000002,,13.72,4040.14,Yes,3.75,32313.01,40.77,146.62,Myanmar,189.74
